District,Urban/Rural,Age_years,Male,Female,Total,County,Province,OBJECTID
TURKANA NORTH,Urban,61,40,33,73,Turkana,RIFT VALLEY,7851
TURKANA NORTH,Urban,62,34,55,89,Turkana,RIFT VALLEY,7852
TURKANA NORTH,Urban,63,26,40,66,Turkana,RIFT VALLEY,7853
TURKANA NORTH,Urban,64,29,57,86,Turkana,RIFT VALLEY,7854
TURKANA NORTH,Urban,65,60,80,140,Turkana,RIFT VALLEY,7855
TURKANA NORTH,Urban,66,17,20,37,Turkana,RIFT VALLEY,7856
TURKANA NORTH,Urban,67,27,25,52,Turkana,RIFT VALLEY,7857
TURKANA NORTH,Urban,68,21,41,62,Turkana,RIFT VALLEY,7858
TURKANA NORTH,Urban,69,30,49,79,Turkana,RIFT VALLEY,7859
TURKANA NORTH,Urban,70,70,86,156,Turkana,RIFT VALLEY,7860
TURKANA NORTH,Urban,71,9,20,29,Turkana,RIFT VALLEY,7861
TURKANA NORTH,Urban,72,17,25,42,Turkana,RIFT VALLEY,7862
TURKANA NORTH,Urban,73,13,14,27,Turkana,RIFT VALLEY,7863
TURKANA NORTH,Urban,74,10,19,29,Turkana,RIFT VALLEY,7864
TURKANA NORTH,Urban,75,33,37,70,Turkana,RIFT VALLEY,7865
TURKANA NORTH,Urban,76,11,5,16,Turkana,RIFT VALLEY,7866
TURKANA NORTH,Urban,77,5,10,15,Turkana,RIFT VALLEY,7867
TURKANA NORTH,Urban,78,10,8,18,Turkana,RIFT VALLEY,7868
TURKANA NORTH,Urban,79,13,17,30,Turkana,RIFT VALLEY,7869
TURKANA NORTH,Urban,80+,196,223,419,Turkana,RIFT VALLEY,7870
TURKANA NORTH,Urban,Age NS,23,15,38,Turkana,RIFT VALLEY,7871
TURKANA SOUTH,Urban,0,0,0,0,Turkana,RIFT VALLEY,7872
TURKANA SOUTH,Urban,1,0,0,0,Turkana,RIFT VALLEY,7873
TURKANA SOUTH,Urban,2,0,0,0,Turkana,RIFT VALLEY,7874
TURKANA SOUTH,Urban,3,0,0,0,Turkana,RIFT VALLEY,7875
TURKANA SOUTH,Urban,4,0,0,0,Turkana,RIFT VALLEY,7876
TURKANA SOUTH,Urban,5,0,0,0,Turkana,RIFT VALLEY,7877
TURKANA SOUTH,Urban,6,0,0,0,Turkana,RIFT VALLEY,7878
TURKANA SOUTH,Urban,7,0,0,0,Turkana,RIFT VALLEY,7879
TURKANA SOUTH,Urban,8,0,0,0,Turkana,RIFT VALLEY,7880
TURKANA SOUTH,Urban,9,0,0,0,Turkana,RIFT VALLEY,7881
TURKANA SOUTH,Urban,10,0,0,0,Turkana,RIFT VALLEY,7882
TURKANA SOUTH,Urban,11,0,0,0,Turkana,RIFT VALLEY,7883
TURKANA SOUTH,Urban,12,0,0,0,Turkana,RIFT VALLEY,7884
TURKANA SOUTH,Urban,13,0,0,0,Turkana,RIFT VALLEY,7885
TURKANA SOUTH,Urban,14,0,0,0,Turkana,RIFT VALLEY,7886
TURKANA SOUTH,Urban,15,0,0,0,Turkana,RIFT VALLEY,7887
TURKANA SOUTH,Urban,16,0,0,0,Turkana,RIFT VALLEY,7888
TURKANA SOUTH,Urban,17,0,0,0,Turkana,RIFT VALLEY,7889
TURKANA SOUTH,Urban,18,0,0,0,Turkana,RIFT VALLEY,7890
TURKANA SOUTH,Urban,19,0,0,0,Turkana,RIFT VALLEY,7891
TURKANA SOUTH,Urban,20,0,0,0,Turkana,RIFT VALLEY,7892
TURKANA SOUTH,Urban,21,0,0,0,Turkana,RIFT VALLEY,7893
TURKANA SOUTH,Urban,22,0,0,0,Turkana,RIFT VALLEY,7894
TURKANA SOUTH,Urban,23,0,0,0,Turkana,RIFT VALLEY,7895
TURKANA SOUTH,Urban,24,0,0,0,Turkana,RIFT VALLEY,7896
TURKANA SOUTH,Urban,25,0,0,0,Turkana,RIFT VALLEY,7897
TURKANA SOUTH,Urban,26,0,0,0,Turkana,RIFT VALLEY,7898
TURKANA SOUTH,Urban,27,0,0,0,Turkana,RIFT VALLEY,7899
TURKANA SOUTH,Urban,28,0,0,0,Turkana,RIFT VALLEY,7900
TURKANA SOUTH,Urban,29,0,0,0,Turkana,RIFT VALLEY,7901
TURKANA SOUTH,Urban,30,0,0,0,Turkana,RIFT VALLEY,7902
TURKANA SOUTH,Urban,31,0,0,0,Turkana,RIFT VALLEY,7903
TURKANA SOUTH,Urban,32,0,0,0,Turkana,RIFT VALLEY,7904
TURKANA SOUTH,Urban,33,0,0,0,Turkana,RIFT VALLEY,7905
TURKANA SOUTH,Urban,34,0,0,0,Turkana,RIFT VALLEY,7906
TURKANA SOUTH,Urban,35,0,0,0,Turkana,RIFT VALLEY,7907
TURKANA SOUTH,Urban,36,0,0,0,Turkana,RIFT VALLEY,7908
TURKANA SOUTH,Urban,37,0,0,0,Turkana,RIFT VALLEY,7909
TURKANA SOUTH,Urban,38,0,0,0,Turkana,RIFT VALLEY,7910
TURKANA SOUTH,Urban,39,0,0,0,Turkana,RIFT VALLEY,7911
TURKANA SOUTH,Urban,40,0,0,0,Turkana,RIFT VALLEY,7912
TURKANA SOUTH,Urban,41,0,0,0,Turkana,RIFT VALLEY,7913
TURKANA SOUTH,Urban,42,0,0,0,Turkana,RIFT VALLEY,7914
TURKANA SOUTH,Urban,43,0,0,0,Turkana,RIFT VALLEY,7915
TURKANA SOUTH,Urban,44,0,0,0,Turkana,RIFT VALLEY,7916
TURKANA SOUTH,Urban,45,0,0,0,Turkana,RIFT VALLEY,7917
TURKANA SOUTH,Urban,46,0,0,0,Turkana,RIFT VALLEY,7918
TURKANA SOUTH,Urban,47,0,0,0,Turkana,RIFT VALLEY,7919
TURKANA SOUTH,Urban,48,0,0,0,Turkana,RIFT VALLEY,7920
TURKANA SOUTH,Urban,49,0,0,0,Turkana,RIFT VALLEY,7921
TURKANA SOUTH,Urban,50,0,0,0,Turkana,RIFT VALLEY,7922
TURKANA SOUTH,Urban,51,0,0,0,Turkana,RIFT VALLEY,7923
TURKANA SOUTH,Urban,52,0,0,0,Turkana,RIFT VALLEY,7924
TURKANA SOUTH,Urban,53,0,0,0,Turkana,RIFT VALLEY,7925
TURKANA SOUTH,Urban,54,0,0,0,Turkana,RIFT VALLEY,7926
TURKANA SOUTH,Urban,55,0,0,0,Turkana,RIFT VALLEY,7927
TURKANA SOUTH,Urban,56,0,0,0,Turkana,RIFT VALLEY,7928
TURKANA SOUTH,Urban,57,0,0,0,Turkana,RIFT VALLEY,7929
TURKANA SOUTH,Urban,58,0,0,0,Turkana,RIFT VALLEY,7930
TURKANA SOUTH,Urban,59,0,0,0,Turkana,RIFT VALLEY,7931
TURKANA SOUTH,Urban,60,0,0,0,Turkana,RIFT VALLEY,7932
TURKANA SOUTH,Urban,61,0,0,0,Turkana,RIFT VALLEY,7933
TURKANA SOUTH,Urban,62,0,0,0,Turkana,RIFT VALLEY,7934
TURKANA SOUTH,Urban,63,0,0,0,Turkana,RIFT VALLEY,7935
TURKANA SOUTH,Urban,64,0,0,0,Turkana,RIFT VALLEY,7936
TURKANA SOUTH,Urban,65,0,0,0,Turkana,RIFT VALLEY,7937
TURKANA SOUTH,Urban,66,0,0,0,Turkana,RIFT VALLEY,7938
TURKANA SOUTH,Urban,67,0,0,0,Turkana,RIFT VALLEY,7939
TURKANA SOUTH,Urban,68,0,0,0,Turkana,RIFT VALLEY,7940
TURKANA SOUTH,Urban,69,0,0,0,Turkana,RIFT VALLEY,7941
TURKANA SOUTH,Urban,70,0,0,0,Turkana,RIFT VALLEY,7942
TURKANA SOUTH,Urban,71,0,0,0,Turkana,RIFT VALLEY,7943
TURKANA SOUTH,Urban,72,0,0,0,Turkana,RIFT VALLEY,7944
TURKANA SOUTH,Urban,73,0,0,0,Turkana,RIFT VALLEY,7945
TURKANA SOUTH,Urban,74,0,0,0,Turkana,RIFT VALLEY,7946
TURKANA SOUTH,Urban,75,0,0,0,Turkana,RIFT VALLEY,7947
TURKANA SOUTH,Urban,76,0,0,0,Turkana,RIFT VALLEY,7948
TURKANA SOUTH,Urban,77,0,0,0,Turkana,RIFT VALLEY,7949
TURKANA SOUTH,Urban,78,0,0,0,Turkana,RIFT VALLEY,7950
TURKANA SOUTH,Urban,79,0,0,0,Turkana,RIFT VALLEY,7951
TURKANA SOUTH,Urban,80+,0,0,0,Turkana,RIFT VALLEY,7952
TURKANA SOUTH,Urban,Age NS,0,0,0,Turkana,RIFT VALLEY,7953
WEST POKOT,Urban,0,820,753,1573,West Pokot,RIFT VALLEY,7954
WEST POKOT,Urban,1,723,681,1404,West Pokot,RIFT VALLEY,7955
WEST POKOT,Urban,2,750,797,1547,West Pokot,RIFT VALLEY,7956
WEST POKOT,Urban,3,737,758,1495,West Pokot,RIFT VALLEY,7957
WEST POKOT,Urban,4,726,708,1434,West Pokot,RIFT VALLEY,7958
WEST POKOT,Urban,5,720,711,1431,West Pokot,RIFT VALLEY,7959
WEST POKOT,Urban,6,679,708,1387,West Pokot,RIFT VALLEY,7960
WEST POKOT,Urban,7,633,668,1301,West Pokot,RIFT VALLEY,7961
WEST POKOT,Urban,8,583,665,1248,West Pokot,RIFT VALLEY,7962
WEST POKOT,Urban,9,608,567,1175,West Pokot,RIFT VALLEY,7963
WEST POKOT,Urban,10,712,709,1421,West Pokot,RIFT VALLEY,7964
WEST POKOT,Urban,11,415,510,925,West Pokot,RIFT VALLEY,7965
WEST POKOT,Urban,12,629,645,1274,West Pokot,RIFT VALLEY,7966
WEST POKOT,Urban,13,505,553,1058,West Pokot,RIFT VALLEY,7967
WEST POKOT,Urban,14,556,534,1090,West Pokot,RIFT VALLEY,7968
WEST POKOT,Urban,15,535,539,1074,West Pokot,RIFT VALLEY,7969
WEST POKOT,Urban,16,491,532,1023,West Pokot,RIFT VALLEY,7970
WEST POKOT,Urban,17,455,461,916,West Pokot,RIFT VALLEY,7971
WEST POKOT,Urban,18,519,489,1008,West Pokot,RIFT VALLEY,7972
WEST POKOT,Urban,19,390,390,780,West Pokot,RIFT VALLEY,7973
WEST POKOT,Urban,20,527,710,1237,West Pokot,RIFT VALLEY,7974
WEST POKOT,Urban,21,342,394,736,West Pokot,RIFT VALLEY,7975
WEST POKOT,Urban,22,455,492,947,West Pokot,RIFT VALLEY,7976
WEST POKOT,Urban,23,374,451,825,West Pokot,RIFT VALLEY,7977
WEST POKOT,Urban,24,371,426,797,West Pokot,RIFT VALLEY,7978
WEST POKOT,Urban,25,519,570,1089,West Pokot,RIFT VALLEY,7979
WEST POKOT,Urban,26,312,302,614,West Pokot,RIFT VALLEY,7980
WEST POKOT,Urban,27,325,353,678,West Pokot,RIFT VALLEY,7981
WEST POKOT,Urban,28,310,370,680,West Pokot,RIFT VALLEY,7982
WEST POKOT,Urban,29,251,233,484,West Pokot,RIFT VALLEY,7983
WEST POKOT,Urban,30,510,481,991,West Pokot,RIFT VALLEY,7984
WEST POKOT,Urban,31,220,175,395,West Pokot,RIFT VALLEY,7985
WEST POKOT,Urban,32,299,275,574,West Pokot,RIFT VALLEY,7986
WEST POKOT,Urban,33,175,164,339,West Pokot,RIFT VALLEY,7987
WEST POKOT,Urban,34,200,203,403,West Pokot,RIFT VALLEY,7988
WEST POKOT,Urban,35,365,320,685,West Pokot,RIFT VALLEY,7989
WEST POKOT,Urban,36,185,183,368,West Pokot,RIFT VALLEY,7990
WEST POKOT,Urban,37,182,179,361,West Pokot,RIFT VALLEY,7991
WEST POKOT,Urban,38,163,180,343,West Pokot,RIFT VALLEY,7992
WEST POKOT,Urban,39,180,147,327,West Pokot,RIFT VALLEY,7993
WEST POKOT,Urban,40,330,255,585,West Pokot,RIFT VALLEY,7994
WEST POKOT,Urban,41,106,90,196,West Pokot,RIFT VALLEY,7995
WEST POKOT,Urban,42,142,106,248,West Pokot,RIFT VALLEY,7996
WEST POKOT,Urban,43,88,80,168,West Pokot,RIFT VALLEY,7997
WEST POKOT,Urban,44,104,91,195,West Pokot,RIFT VALLEY,7998
WEST POKOT,Urban,45,191,185,376,West Pokot,RIFT VALLEY,7999
WEST POKOT,Urban,46,105,89,194,West Pokot,RIFT VALLEY,8000
WEST POKOT,Urban,47,91,83,174,West Pokot,RIFT VALLEY,8001
WEST POKOT,Urban,48,96,107,203,West Pokot,RIFT VALLEY,8002
WEST POKOT,Urban,49,98,61,159,West Pokot,RIFT VALLEY,8003
WEST POKOT,Urban,50,186,162,348,West Pokot,RIFT VALLEY,8004
WEST POKOT,Urban,51,72,52,124,West Pokot,RIFT VALLEY,8005
WEST POKOT,Urban,52,62,67,129,West Pokot,RIFT VALLEY,8006
WEST POKOT,Urban,53,66,62,128,West Pokot,RIFT VALLEY,8007
WEST POKOT,Urban,54,62,58,120,West Pokot,RIFT VALLEY,8008
WEST POKOT,Urban,55,86,83,169,West Pokot,RIFT VALLEY,8009
WEST POKOT,Urban,56,63,50,113,West Pokot,RIFT VALLEY,8010
WEST POKOT,Urban,57,80,51,131,West Pokot,RIFT VALLEY,8011
WEST POKOT,Urban,58,38,34,72,West Pokot,RIFT VALLEY,8012
WEST POKOT,Urban,59,54,41,95,West Pokot,RIFT VALLEY,8013
WEST POKOT,Urban,60,91,118,209,West Pokot,RIFT VALLEY,8014
WEST POKOT,Urban,61,40,34,74,West Pokot,RIFT VALLEY,8015
WEST POKOT,Urban,62,28,20,48,West Pokot,RIFT VALLEY,8016
WEST POKOT,Urban,63,18,24,42,West Pokot,RIFT VALLEY,8017
WEST POKOT,Urban,64,29,31,60,West Pokot,RIFT VALLEY,8018
WEST POKOT,Urban,65,41,56,97,West Pokot,RIFT VALLEY,8019
WEST POKOT,Urban,66,17,18,35,West Pokot,RIFT VALLEY,8020
WEST POKOT,Urban,67,14,19,33,West Pokot,RIFT VALLEY,8021
WEST POKOT,Urban,68,14,18,32,West Pokot,RIFT VALLEY,8022
WEST POKOT,Urban,69,29,35,64,West Pokot,RIFT VALLEY,8023
WEST POKOT,Urban,70,50,68,118,West Pokot,RIFT VALLEY,8024
WEST POKOT,Urban,71,21,19,40,West Pokot,RIFT VALLEY,8025
WEST POKOT,Urban,72,15,14,29,West Pokot,RIFT VALLEY,8026
WEST POKOT,Urban,73,12,13,25,West Pokot,RIFT VALLEY,8027
WEST POKOT,Urban,74,11,15,26,West Pokot,RIFT VALLEY,8028
WEST POKOT,Urban,75,22,18,40,West Pokot,RIFT VALLEY,8029
WEST POKOT,Urban,76,14,3,17,West Pokot,RIFT VALLEY,8030
WEST POKOT,Urban,77,10,4,14,West Pokot,RIFT VALLEY,8031
WEST POKOT,Urban,78,11,3,14,West Pokot,RIFT VALLEY,8032
WEST POKOT,Urban,79,13,9,22,West Pokot,RIFT VALLEY,8033
WEST POKOT,Urban,80+,103,173,276,West Pokot,RIFT VALLEY,8034
WEST POKOT,Urban,Age NS,7,10,17,West Pokot,RIFT VALLEY,8035
POKOT NORTH,Urban,0,0,0,0,West Pokot,RIFT VALLEY,8036
POKOT NORTH,Urban,1,0,0,0,West Pokot,RIFT VALLEY,8037
POKOT NORTH,Urban,2,0,0,0,West Pokot,RIFT VALLEY,8038
POKOT NORTH,Urban,3,0,0,0,West Pokot,RIFT VALLEY,8039
POKOT NORTH,Urban,4,0,0,0,West Pokot,RIFT VALLEY,8040
POKOT NORTH,Urban,5,0,0,0,West Pokot,RIFT VALLEY,8041
POKOT NORTH,Urban,6,0,0,0,West Pokot,RIFT VALLEY,8042
POKOT NORTH,Urban,7,0,0,0,West Pokot,RIFT VALLEY,8043
POKOT NORTH,Urban,8,0,0,0,West Pokot,RIFT VALLEY,8044
POKOT NORTH,Urban,9,0,0,0,West Pokot,RIFT VALLEY,8045
POKOT NORTH,Urban,10,0,0,0,West Pokot,RIFT VALLEY,8046
POKOT NORTH,Urban,11,0,0,0,West Pokot,RIFT VALLEY,8047
POKOT NORTH,Urban,12,0,0,0,West Pokot,RIFT VALLEY,8048
POKOT NORTH,Urban,13,0,0,0,West Pokot,RIFT VALLEY,8049
POKOT NORTH,Urban,14,0,0,0,West Pokot,RIFT VALLEY,8050
POKOT NORTH,Urban,15,0,0,0,West Pokot,RIFT VALLEY,8051
POKOT NORTH,Urban,16,0,0,0,West Pokot,RIFT VALLEY,8052
POKOT NORTH,Urban,17,0,0,0,West Pokot,RIFT VALLEY,8053
POKOT NORTH,Urban,18,0,0,0,West Pokot,RIFT VALLEY,8054
POKOT NORTH,Urban,19,0,0,0,West Pokot,RIFT VALLEY,8055
POKOT NORTH,Urban,20,0,0,0,West Pokot,RIFT VALLEY,8056
POKOT NORTH,Urban,21,0,0,0,West Pokot,RIFT VALLEY,8057
POKOT NORTH,Urban,22,0,0,0,West Pokot,RIFT VALLEY,8058
POKOT NORTH,Urban,23,0,0,0,West Pokot,RIFT VALLEY,8059
POKOT NORTH,Urban,24,0,0,0,West Pokot,RIFT VALLEY,8060
POKOT NORTH,Urban,25,0,0,0,West Pokot,RIFT VALLEY,8061
POKOT NORTH,Urban,26,0,0,0,West Pokot,RIFT VALLEY,8062
POKOT NORTH,Urban,27,0,0,0,West Pokot,RIFT VALLEY,8063
POKOT NORTH,Urban,28,0,0,0,West Pokot,RIFT VALLEY,8064
POKOT NORTH,Urban,29,0,0,0,West Pokot,RIFT VALLEY,8065
POKOT NORTH,Urban,30,0,0,0,West Pokot,RIFT VALLEY,8066
POKOT NORTH,Urban,31,0,0,0,West Pokot,RIFT VALLEY,8067
POKOT NORTH,Urban,32,0,0,0,West Pokot,RIFT VALLEY,8068
POKOT NORTH,Urban,33,0,0,0,West Pokot,RIFT VALLEY,8069
POKOT NORTH,Urban,34,0,0,0,West Pokot,RIFT VALLEY,8070
POKOT NORTH,Urban,35,0,0,0,West Pokot,RIFT VALLEY,8071
POKOT NORTH,Urban,36,0,0,0,West Pokot,RIFT VALLEY,8072
POKOT NORTH,Urban,37,0,0,0,West Pokot,RIFT VALLEY,8073
POKOT NORTH,Urban,38,0,0,0,West Pokot,RIFT VALLEY,8074
POKOT NORTH,Urban,39,0,0,0,West Pokot,RIFT VALLEY,8075
POKOT NORTH,Urban,40,0,0,0,West Pokot,RIFT VALLEY,8076
POKOT NORTH,Urban,41,0,0,0,West Pokot,RIFT VALLEY,8077
POKOT NORTH,Urban,42,0,0,0,West Pokot,RIFT VALLEY,8078
POKOT NORTH,Urban,43,0,0,0,West Pokot,RIFT VALLEY,8079
POKOT NORTH,Urban,44,0,0,0,West Pokot,RIFT VALLEY,8080
POKOT NORTH,Urban,45,0,0,0,West Pokot,RIFT VALLEY,8081
POKOT NORTH,Urban,46,0,0,0,West Pokot,RIFT VALLEY,8082
POKOT NORTH,Urban,47,0,0,0,West Pokot,RIFT VALLEY,8083
POKOT NORTH,Urban,48,0,0,0,West Pokot,RIFT VALLEY,8084
POKOT NORTH,Urban,49,0,0,0,West Pokot,RIFT VALLEY,8085
POKOT NORTH,Urban,50,0,0,0,West Pokot,RIFT VALLEY,8086
POKOT NORTH,Urban,51,0,0,0,West Pokot,RIFT VALLEY,8087
POKOT NORTH,Urban,52,0,0,0,West Pokot,RIFT VALLEY,8088
POKOT NORTH,Urban,53,0,0,0,West Pokot,RIFT VALLEY,8089
POKOT NORTH,Urban,54,0,0,0,West Pokot,RIFT VALLEY,8090
POKOT NORTH,Urban,55,0,0,0,West Pokot,RIFT VALLEY,8091
POKOT NORTH,Urban,56,0,0,0,West Pokot,RIFT VALLEY,8092
POKOT NORTH,Urban,57,0,0,0,West Pokot,RIFT VALLEY,8093
POKOT NORTH,Urban,58,0,0,0,West Pokot,RIFT VALLEY,8094
POKOT NORTH,Urban,59,0,0,0,West Pokot,RIFT VALLEY,8095
POKOT NORTH,Urban,60,0,0,0,West Pokot,RIFT VALLEY,8096
POKOT NORTH,Urban,61,0,0,0,West Pokot,RIFT VALLEY,8097
POKOT NORTH,Urban,62,0,0,0,West Pokot,RIFT VALLEY,8098
POKOT NORTH,Urban,63,0,0,0,West Pokot,RIFT VALLEY,8099
POKOT NORTH,Urban,64,0,0,0,West Pokot,RIFT VALLEY,8100
POKOT NORTH,Urban,65,0,0,0,West Pokot,RIFT VALLEY,8101
POKOT NORTH,Urban,66,0,0,0,West Pokot,RIFT VALLEY,8102
POKOT NORTH,Urban,67,0,0,0,West Pokot,RIFT VALLEY,8103
POKOT NORTH,Urban,68,0,0,0,West Pokot,RIFT VALLEY,8104
POKOT NORTH,Urban,69,0,0,0,West Pokot,RIFT VALLEY,8105
POKOT NORTH,Urban,70,0,0,0,West Pokot,RIFT VALLEY,8106
POKOT NORTH,Urban,71,0,0,0,West Pokot,RIFT VALLEY,8107
POKOT NORTH,Urban,72,0,0,0,West Pokot,RIFT VALLEY,8108
POKOT NORTH,Urban,73,0,0,0,West Pokot,RIFT VALLEY,8109
POKOT NORTH,Urban,74,0,0,0,West Pokot,RIFT VALLEY,8110
POKOT NORTH,Urban,75,0,0,0,West Pokot,RIFT VALLEY,8111
POKOT NORTH,Urban,76,0,0,0,West Pokot,RIFT VALLEY,8112
POKOT NORTH,Urban,77,0,0,0,West Pokot,RIFT VALLEY,8113
POKOT NORTH,Urban,78,0,0,0,West Pokot,RIFT VALLEY,8114
POKOT NORTH,Urban,79,0,0,0,West Pokot,RIFT VALLEY,8115
POKOT NORTH,Urban,80+,0,0,0,West Pokot,RIFT VALLEY,8116
POKOT NORTH,Urban,Age NS,0,0,0,West Pokot,RIFT VALLEY,8117
POKOT CENTRAL,Urban,0,0,0,0,West Pokot,RIFT VALLEY,8118
POKOT CENTRAL,Urban,1,0,0,0,West Pokot,RIFT VALLEY,8119
POKOT CENTRAL,Urban,2,0,0,0,West Pokot,RIFT VALLEY,8120
POKOT CENTRAL,Urban,3,0,0,0,West Pokot,RIFT VALLEY,8121
POKOT CENTRAL,Urban,4,0,0,0,West Pokot,RIFT VALLEY,8122
POKOT CENTRAL,Urban,5,0,0,0,West Pokot,RIFT VALLEY,8123
POKOT CENTRAL,Urban,6,0,0,0,West Pokot,RIFT VALLEY,8124
POKOT CENTRAL,Urban,7,0,0,0,West Pokot,RIFT VALLEY,8125
POKOT CENTRAL,Urban,8,0,0,0,West Pokot,RIFT VALLEY,8126
POKOT CENTRAL,Urban,9,0,0,0,West Pokot,RIFT VALLEY,8127
POKOT CENTRAL,Urban,10,0,0,0,West Pokot,RIFT VALLEY,8128
POKOT CENTRAL,Urban,11,0,0,0,West Pokot,RIFT VALLEY,8129
POKOT CENTRAL,Urban,12,0,0,0,West Pokot,RIFT VALLEY,8130
POKOT CENTRAL,Urban,13,0,0,0,West Pokot,RIFT VALLEY,8131
POKOT CENTRAL,Urban,14,0,0,0,West Pokot,RIFT VALLEY,8132
POKOT CENTRAL,Urban,15,0,0,0,West Pokot,RIFT VALLEY,8133
POKOT CENTRAL,Urban,16,0,0,0,West Pokot,RIFT VALLEY,8134
POKOT CENTRAL,Urban,17,0,0,0,West Pokot,RIFT VALLEY,8135
POKOT CENTRAL,Urban,18,0,0,0,West Pokot,RIFT VALLEY,8136
POKOT CENTRAL,Urban,19,0,0,0,West Pokot,RIFT VALLEY,8137
POKOT CENTRAL,Urban,20,0,0,0,West Pokot,RIFT VALLEY,8138
POKOT CENTRAL,Urban,21,0,0,0,West Pokot,RIFT VALLEY,8139
POKOT CENTRAL,Urban,22,0,0,0,West Pokot,RIFT VALLEY,8140
POKOT CENTRAL,Urban,23,0,0,0,West Pokot,RIFT VALLEY,8141
POKOT CENTRAL,Urban,24,0,0,0,West Pokot,RIFT VALLEY,8142
POKOT CENTRAL,Urban,25,0,0,0,West Pokot,RIFT VALLEY,8143
POKOT CENTRAL,Urban,26,0,0,0,West Pokot,RIFT VALLEY,8144
POKOT CENTRAL,Urban,27,0,0,0,West Pokot,RIFT VALLEY,8145
POKOT CENTRAL,Urban,28,0,0,0,West Pokot,RIFT VALLEY,8146
POKOT CENTRAL,Urban,29,0,0,0,West Pokot,RIFT VALLEY,8147
POKOT CENTRAL,Urban,30,0,0,0,West Pokot,RIFT VALLEY,8148
POKOT CENTRAL,Urban,31,0,0,0,West Pokot,RIFT VALLEY,8149
POKOT CENTRAL,Urban,32,0,0,0,West Pokot,RIFT VALLEY,8150
POKOT CENTRAL,Urban,33,0,0,0,West Pokot,RIFT VALLEY,8151
POKOT CENTRAL,Urban,34,0,0,0,West Pokot,RIFT VALLEY,8152
POKOT CENTRAL,Urban,35,0,0,0,West Pokot,RIFT VALLEY,8153
POKOT CENTRAL,Urban,36,0,0,0,West Pokot,RIFT VALLEY,8154
POKOT CENTRAL,Urban,37,0,0,0,West Pokot,RIFT VALLEY,8155
POKOT CENTRAL,Urban,38,0,0,0,West Pokot,RIFT VALLEY,8156
POKOT CENTRAL,Urban,39,0,0,0,West Pokot,RIFT VALLEY,8157
POKOT CENTRAL,Urban,40,0,0,0,West Pokot,RIFT VALLEY,8158
POKOT CENTRAL,Urban,41,0,0,0,West Pokot,RIFT VALLEY,8159
POKOT CENTRAL,Urban,42,0,0,0,West Pokot,RIFT VALLEY,8160
POKOT CENTRAL,Urban,43,0,0,0,West Pokot,RIFT VALLEY,8161
POKOT CENTRAL,Urban,44,0,0,0,West Pokot,RIFT VALLEY,8162
POKOT CENTRAL,Urban,45,0,0,0,West Pokot,RIFT VALLEY,8163
POKOT CENTRAL,Urban,46,0,0,0,West Pokot,RIFT VALLEY,8164
POKOT CENTRAL,Urban,47,0,0,0,West Pokot,RIFT VALLEY,8165
POKOT CENTRAL,Urban,48,0,0,0,West Pokot,RIFT VALLEY,8166
POKOT CENTRAL,Urban,49,0,0,0,West Pokot,RIFT VALLEY,8167
POKOT CENTRAL,Urban,50,0,0,0,West Pokot,RIFT VALLEY,8168
POKOT CENTRAL,Urban,51,0,0,0,West Pokot,RIFT VALLEY,8169
POKOT CENTRAL,Urban,52,0,0,0,West Pokot,RIFT VALLEY,8170
POKOT CENTRAL,Urban,53,0,0,0,West Pokot,RIFT VALLEY,8171
POKOT CENTRAL,Urban,54,0,0,0,West Pokot,RIFT VALLEY,8172
POKOT CENTRAL,Urban,55,0,0,0,West Pokot,RIFT VALLEY,8173
POKOT CENTRAL,Urban,56,0,0,0,West Pokot,RIFT VALLEY,8174
POKOT CENTRAL,Urban,57,0,0,0,West Pokot,RIFT VALLEY,8175
POKOT CENTRAL,Urban,58,0,0,0,West Pokot,RIFT VALLEY,8176
POKOT CENTRAL,Urban,59,0,0,0,West Pokot,RIFT VALLEY,8177
POKOT CENTRAL,Urban,60,0,0,0,West Pokot,RIFT VALLEY,8178
POKOT CENTRAL,Urban,61,0,0,0,West Pokot,RIFT VALLEY,8179
POKOT CENTRAL,Urban,62,0,0,0,West Pokot,RIFT VALLEY,8180
POKOT CENTRAL,Urban,63,0,0,0,West Pokot,RIFT VALLEY,8181
POKOT CENTRAL,Urban,64,0,0,0,West Pokot,RIFT VALLEY,8182
POKOT CENTRAL,Urban,65,0,0,0,West Pokot,RIFT VALLEY,8183
POKOT CENTRAL,Urban,66,0,0,0,West Pokot,RIFT VALLEY,8184
POKOT CENTRAL,Urban,67,0,0,0,West Pokot,RIFT VALLEY,8185
POKOT CENTRAL,Urban,68,0,0,0,West Pokot,RIFT VALLEY,8186
POKOT CENTRAL,Urban,69,0,0,0,West Pokot,RIFT VALLEY,8187
POKOT CENTRAL,Urban,70,0,0,0,West Pokot,RIFT VALLEY,8188
POKOT CENTRAL,Urban,71,0,0,0,West Pokot,RIFT VALLEY,8189
POKOT CENTRAL,Urban,72,0,0,0,West Pokot,RIFT VALLEY,8190
POKOT CENTRAL,Urban,73,0,0,0,West Pokot,RIFT VALLEY,8191
POKOT CENTRAL,Urban,74,0,0,0,West Pokot,RIFT VALLEY,8192
POKOT CENTRAL,Urban,75,0,0,0,West Pokot,RIFT VALLEY,8193
POKOT CENTRAL,Urban,76,0,0,0,West Pokot,RIFT VALLEY,8194
